block_num,Block_length_target,Goal_Bonded,Inflation_Rate_Change,Min_Inflation_Rate,Max_Inflation_Rate,Min_Signatures,Blocks_per_year,Validator_id,percent_staked,atom_staked_v,community_tax,min_proposer_bonus,max_proposer_bonus,v_commission,inflation_rate,total_supply,self_bonded_rew_amt,commission_amt,n_validators,timestamp,sign_ratio,total_block_fees
12685652,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,64.1,14865199.565244,0.020000000000000000,0.010000000000000000,0.040000000000000000,20.0,0.130624872845767291,314478597669708,1477.628192534490000000,2745425433.026799086543729162,175,2022-11-02T08:40:17.140249604Z,1.0,0.0
12685654,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,64.1,14865199.565244,0.020000000000000000,0.010000000000000000,0.040000000000000000,20.0,0.130624882763273480,314478607091435,1477.697812020284000000,2745554796.470542133013142302,175,2022-11-02T08:40:25.774898988Z,1.0,0.0
12685655,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,64.1,14865199.565244,0.020000000000000000,0.010000000000000000,0.040000000000000000,20.0,0.130624902598304889,314478625934892,1477.837052099178000000,2745813525.415573552080441331,175,2022-11-02T08:40:32.765008276Z,1.0,8107.0
12685656,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,64.1,14865199.565244,0.020000000000000000,0.010000000000000000,0.040000000000000000,20.0,0.130624902598304889,314478625934892,1477.906817602060000000,2745943160.180960270691127536,175,2022-11-02T08:40:39.035754769Z,1.0,28957.0
12685657,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,64.1,14865199.565244,0.020000000000000000,0.010000000000000000,0.040000000000000000,20.0,0.130624922433360575,314478644778353,1477.976505881242000000,2746072651.453135945102124280,175,2022-11-02T08:40:45.403822326Z,1.0,18495.0
12685659,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,64.1,14865199.565244,0.020000000000000000,0.010000000000000000,0.040000000000000000,20.0,0.130624932350898280,314478654200085,1478.046125603260000000,2746202015.335821994478944940,175,2022-11-02T08:41:02.739433008Z,1.0,0.0
12685660,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,64.1,14865199.565244,0.020000000000000000,0.010000000000000000,0.040000000000000000,20.0,0.130624952185993412,314478673043552,1478.185287410206000000,2746460598.839832793944933640,175,2022-11-02T08:41:09.066921711Z,1.0,5823.0
12685661,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,64.1,14865199.565244,0.020000000000000000,0.010000000000000000,0.040000000000000000,20.0,0.130624962103550840,314478682465287,1478.305753616348000000,2746684443.114229793466283825,175,2022-11-02T08:41:15.791504284Z,1.0,0.0
12685663,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,64.1,14865199.565244,0.020000000000000000,0.010000000000000000,0.040000000000000000,20.0,0.130624981938685419,314478701308760,1478.445170916286000000,2746943501.362532174975217963,175,2022-11-02T08:41:28.791009554Z,1.0,13988.0
12685664,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,64.1,14865199.565244,0.020000000000000000,0.010000000000000000,0.040000000000000000,20.0,0.130624991856262570,314478710730498,1478.514936640628000000,2747073136.539427958811598718,175,2022-11-02T08:41:35.191946711Z,1.0,28979.0
12685666,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,64.1,14865199.565244,0.020000000000000000,0.010000000000000000,0.040000000000000000,20.0,0.130625001773846295,314478720152237,1478.584878507034000000,2747203099.014688746354576596,175,2022-11-02T08:41:53.039389747Z,1.0,16927.0
12685667,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,64.1,14865199.565244,0.020000000000000000,0.010000000000000000,0.040000000000000000,20.0,0.130625021609031727,314478738995718,1478.724157747740000000,2747461900.728239866165528487,175,2022-11-02T08:41:59.274414291Z,1.0,6861.0
12685669,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,64.1,14865199.565244,0.020000000000000000,0.010000000000000000,0.040000000000000000,20.0,0.130625041444240482,314478757839203,1478.863437120634000000,2747720702.687412493072638882,175,2022-11-02T08:42:12.284538901Z,1.0,9748.0
12685671,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,64.1,14865199.565244,0.020000000000000000,0.010000000000000000,0.040000000000000000,20.0,0.130625051361853016,314478767260947,1478.933088540860000000,2747850125.470120670900981912,175,2022-11-02T08:42:25.333689663Z,1.0,0.0
12685676,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,64.1,14865199.565244,0.020000000000000000,0.010000000000000000,0.040000000000000000,20.0,0.130625100949961985,314478814369682,1479.331921459230000000,2748591216.835714016452155546,175,2022-11-02T08:42:57.493450095Z,1.0,1801.0
12685679,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,64.1,14865199.565244,0.020000000000000000,0.010000000000000000,0.040000000000000000,20.0,0.130625130702903873,314478842634932,1479.540908247574000000,2748979545.625118631671492105,175,2022-11-02T08:43:21.258511920Z,1.0,22141.0
12685680,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,64.1,14865199.565244,0.020000000000000000,0.010000000000000000,0.040000000000000000,20.0,0.130625150538230785,314478861478437,1479.680287215572000000,2749238532.646932035670945081,175,2022-11-02T08:43:27.568015271Z,1.0,13984.0
12685682,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,64.1,14865199.565244,0.020000000000000000,0.010000000000000000,0.040000000000000000,20.0,0.130625160455904103,314478870900191,1479.749895706838000000,2749367875.661192996273869021,175,2022-11-02T08:43:40.215552745Z,1.0,0.0
