block_num,Block_length_target,Goal_Bonded,Inflation_Rate_Change,Min_Inflation_Rate,Max_Inflation_Rate,Min_Signatures,Blocks_per_year,Validator_id,timestamp,sign_ratio,atom_staked_v,percent_staked,inflation_rate,total_supply,v_commission,self_bonded_rew_amt,commission_amt,community_tax,min_proposer_bonus,max_proposer_bonus,n_validators,total_block_fees
12692689,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,2022-11-02T21:49:04.072339728Z,1.0,185752,64.14,0.130694247296441358,314544913588542,8.0,141.697937350664000000,1979016.206010901935254998,0.020000000000000000,0.010000000000000000,0.040000000000000000,175,14916
12692690,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,2022-11-02T21:49:10.411742774Z,1.0,185752,64.14,0.130694257071083111,314544923017260,8.0,141.737973092097000000,1979662.877232001481120391,0.020000000000000000,0.010000000000000000,0.040000000000000000,175,14916
12692691,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,2022-11-02T21:49:17.125380989Z,1.0,185752,64.14,0.130694266845731447,314544932445979,8.0,141.777977779567000000,1980309.046858695059256762,0.020000000000000000,0.010000000000000000,0.040000000000000000,175,14916
12692692,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,2022-11-02T21:49:23.483347796Z,1.0,185752,64.14,0.130694276620386365,314544941874699,8.0,141.817961268046000000,1980954.874071913872241630,0.020000000000000000,0.010000000000000000,0.040000000000000000,175,14916
12692693,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,2022-11-02T21:49:30.190192386Z,1.0,185752,64.14,0.130694286395047695,314544951303420,8.0,141.857979037590000000,1981601.255004804642878876,0.020000000000000000,0.010000000000000000,0.040000000000000000,175,14916
