block_num,Block_length_target,Goal_Bonded,Inflation_Rate_Change,Min_Inflation_Rate,Max_Inflation_Rate,Min_Signatures,Blocks_per_year,Validator_id,atom_staked_v,percent_staked,community_tax,min_proposer_bonus,max_proposer_bonus,total_supply,inflation_rate,v_commission,self_bonded_rew_amt,commission_amt,n_validators,timestamp,sign_ratio,total_block_fees
12675600,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper156gqf9837u7d4c4678yt3rl4ls9c5vuursrrzf,11779065.5791041384060368,64.12,0.020000000000000000,0.010000000000000000,0.040000000000000000,314383931389292,0.130525507571036927,2.5,42.866691175428267856,6814140.410064046417509248,175,2022-11-01T13:56:18.116888517Z,1.0,0.0
12675601,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper156gqf9837u7d4c4678yt3rl4ls9c5vuursrrzf,11779065.5791041384060368,64.12,0.020000000000000000,0.010000000000000000,0.040000000000000000,314383940801017,0.130525517395947403,2.5,42.947099712134558647,6826921.951022771952197282,175,2022-11-01T13:56:24.487972712Z,1.0,2500.0
12675603,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper156gqf9837u7d4c4678yt3rl4ls9c5vuursrrzf,11779065.5791041384060368,64.12,0.020000000000000000,0.010000000000000000,0.040000000000000000,314383959624470,0.130525537045779307,2.5,43.182435736974412714,6864330.380075149043519864,175,2022-11-01T13:56:37.705374004Z,1.0,0.0
12675604,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper156gqf9837u7d4c4678yt3rl4ls9c5vuursrrzf,11779065.5791041384060368,64.12,0.020000000000000000,0.010000000000000000,0.040000000000000000,314383969036198,0.130525546870699933,2.5,43.262968125629613067,6877131.609032253102709966,175,2022-11-01T13:56:44.131001604Z,1.0,8779.0
12675606,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper156gqf9837u7d4c4678yt3rl4ls9c5vuursrrzf,11779065.5791041384060368,64.12,0.020000000000000000,0.010000000000000000,0.040000000000000000,314383987859657,0.130525566520560836,2.5,43.424000047037819028,6902728.844252883962126706,175,2022-11-01T13:56:57.454204500Z,1.0,0.0
12675607,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper156gqf9837u7d4c4678yt3rl4ls9c5vuursrrzf,11779065.5791041384060368,64.12,0.020000000000000000,0.010000000000000000,0.040000000000000000,314383997271388,0.130525576345501113,2.5,43.504460553203947756,6915518.646947515841424114,175,2022-11-01T13:57:04.197777517Z,1.0,0.0
12675608,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper156gqf9837u7d4c4678yt3rl4ls9c5vuursrrzf,11779065.5791041384060368,64.12,0.020000000000000000,0.010000000000000000,0.040000000000000000,314384006683120,0.130525586170458862,2.5,43.585054075501966230,6928329.593556501279084647,175,2022-11-01T13:57:10.728702256Z,1.0,0.0
12675610,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper156gqf9837u7d4c4678yt3rl4ls9c5vuursrrzf,11779065.5791041384060368,64.12,0.020000000000000000,0.010000000000000000,0.040000000000000000,314384025506587,0.130525605820377743,2.5,43.746105917816338187,6953929.995355314796808373,175,2022-11-01T13:57:23.390935698Z,1.0,4423.0
12675611,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper156gqf9837u7d4c4678yt3rl4ls9c5vuursrrzf,11779065.5791041384060368,64.12,0.020000000000000000,0.010000000000000000,0.040000000000000000,314384034918322,0.130525615645344320,2.5,43.826552264318155600,6966717.547264653329063069,175,2022-11-01T13:57:25.819724728Z,1.0,16141.0
12675613,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper156gqf9837u7d4c4678yt3rl4ls9c5vuursrrzf,11779065.5791041384060368,64.12,0.020000000000000000,0.010000000000000000,0.040000000000000000,314384053741795,0.130525635295297190,2.5,43.987586893994995489,6992315.212985100060322166,175,2022-11-01T13:57:38.784829667Z,1.0,0.0
12675614,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper156gqf9837u7d4c4678yt3rl4ls9c5vuursrrzf,11779065.5791041384060368,64.12,0.020000000000000000,0.010000000000000000,0.040000000000000000,314384063153533,0.130525645120283453,2.5,44.068107378447725575,7005114.549679492790158385,175,2022-11-01T13:57:45.240192292Z,1.0,4664.0
12675615,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper156gqf9837u7d4c4678yt3rl4ls9c5vuursrrzf,11779065.5791041384060368,64.12,0.020000000000000000,0.010000000000000000,0.040000000000000000,314384072565272,0.130525654945276288,2.5,44.148555816097474403,7017902.433992348462434369,175,2022-11-01T13:57:51.717431115Z,1.0,26163.0
12675616,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper156gqf9837u7d4c4678yt3rl4ls9c5vuursrrzf,11779065.5791041384060368,64.12,0.020000000000000000,0.010000000000000000,0.040000000000000000,314384091388753,0.130525674595250233,2.5,44.309835599698118433,7043539.068773414886174306,175,2022-11-01T13:57:58.188396307Z,1.0,27981.0
