block_num,Block_length_target,Goal_Bonded,Inflation_Rate_Change,Min_Inflation_Rate,Max_Inflation_Rate,Min_Signatures,Blocks_per_year,Validator_id,atom_staked_v,inflation_rate,total_supply,percent_staked,community_tax,min_proposer_bonus,max_proposer_bonus,v_commission,self_bonded_rew_amt,commission_amt,n_validators,timestamp,sign_ratio,total_block_fees,block_len
12685251,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper196ax4vc0lwpxndu9dyhvca7jhxp70rmcvrj90c,9461821.038155,0.1306208863038817,314474810216439,64.1,0.02,0.01,0.04,1.9,83.98042560255016,4627.70822850865,175,2022-11-02T07:55:32.718422550Z,1.0,4735.0,6.12345
12685252,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper196ax4vc0lwpxndu9dyhvca7jhxp70rmcvrj90c,9461821.038155,0.1306209061357079,314474829059092,64.1,0.02,0.01,0.04,1.9,83.98078015151991,4627.732821314423,175,2022-11-02T07:55:39.149182479Z,1.0,7868.0,6.431
12685254,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper196ax4vc0lwpxndu9dyhvca7jhxp70rmcvrj90c,9461821.038155,0.1306209160515797,314474838480420,64.1,0.02,0.01,0.04,1.9,83.98089303514287,4627.740651332984,175,2022-11-02T07:55:52.063087500Z,1.0,0.0,6.12345
12685255,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper196ax4vc0lwpxndu9dyhvca7jhxp70rmcvrj90c,9461821.038155,0.130620925967458,314474847901749,64.1,0.02,0.01,0.04,1.9,83.98100571863449,4627.748467469707,175,2022-11-02T07:55:58.708404242Z,1.0,0.0,6.645
12685256,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper196ax4vc0lwpxndu9dyhvca7jhxp70rmcvrj90c,9461821.038155,0.1306209358833429,314474857323079,64.1,0.02,0.01,0.04,1.9,83.98111842352499,4627.756285090737,175,2022-11-02T07:56:05.164534098Z,1.0,21276.0,6.456
12685257,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper196ax4vc0lwpxndu9dyhvca7jhxp70rmcvrj90c,9461821.038155,0.1306209457992335,314474866744410,64.1,0.02,0.01,0.04,1.9,83.98123132770095,4627.76411653493,175,2022-11-02T07:56:16.333813965Z,1.0,0.0,11.169
12685258,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper196ax4vc0lwpxndu9dyhvca7jhxp70rmcvrj90c,9461821.038155,0.1306209557151307,314474876165742,64.1,0.02,0.01,0.04,1.9,83.98134408035924,4627.771937469305,175,2022-11-02T07:56:22.624435590Z,1.0,10159.0,6.291
12685259,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper196ax4vc0lwpxndu9dyhvca7jhxp70rmcvrj90c,9461821.038155,0.1306209656310236,314474885587075,64.1,0.02,0.01,0.04,1.9,83.98145685163439,4627.779759695015,175,2022-11-02T07:56:28.843190888Z,1.0,0.0,6.219
12685260,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper196ax4vc0lwpxndu9dyhvca7jhxp70rmcvrj90c,9461821.038155,0.1306209755468741,314474895008409,64.1,0.02,0.01,0.04,1.9,83.98156966758049,4627.787585019262,175,2022-11-02T07:56:35.148850196Z,1.0,0.0,6.305
12685261,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper196ax4vc0lwpxndu9dyhvca7jhxp70rmcvrj90c,9461821.038155,0.130620995378595,314474913851080,64.1,0.02,0.01,0.04,1.9,83.98179513638024,4627.803224355075,175,2022-11-02T07:56:41.714464659Z,1.0,9150.0,6.566
12685263,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper196ax4vc0lwpxndu9dyhvca7jhxp70rmcvrj90c,9461821.038155,0.130621005294465,314474923272417,64.1,0.02,0.01,0.04,1.9,83.98190809073235,4627.811059279668,175,2022-11-02T07:56:54.763023216Z,1.0,0.0,6.12345
12685264,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper196ax4vc0lwpxndu9dyhvca7jhxp70rmcvrj90c,9461821.038155,0.1306210152103416,314474932693755,64.1,0.02,0.01,0.04,1.9,83.98202082204075,4627.818878733137,175,2022-11-02T07:57:01.231514151Z,1.0,0.0,6.468
12685265,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper196ax4vc0lwpxndu9dyhvca7jhxp70rmcvrj90c,9461821.038155,0.1306210251262247,314474942115094,64.1,0.02,0.01,0.04,1.9,83.98213352935167,4627.826696522056,175,2022-11-02T07:57:07.485655426Z,1.0,7071.0,6.254
12685448,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper196ax4vc0lwpxndu9dyhvca7jhxp70rmcvrj90c,9461960.765259,0.1306228497126079,314476675658310,64.1,0.02,0.01,0.04,1.9,84004183.1134191,4629356137.781353,175,2022-11-02T08:17:23.624275719Z,1.0,2229.0,6.12345
12685451,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper196ax4vc0lwpxndu9dyhvca7jhxp70rmcvrj90c,9461960.765259,0.1306228695458197,314476694501357,64.1,0.02,0.01,0.04,1.9,84004408.61096254,4629371779.131107,175,2022-11-02T08:17:42.885111269Z,1.0,9316.0,6.12345
12685453,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper196ax4vc0lwpxndu9dyhvca7jhxp70rmcvrj90c,9461960.765259,0.1306228893795687,314476713344408,64.1,0.02,0.01,0.04,1.9,84004634.09761181,4629387419.725203,175,2022-11-02T08:17:55.930362600Z,1.0,0.0,6.12345
12685455,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,cosmosvaloper196ax4vc0lwpxndu9dyhvca7jhxp70rmcvrj90c,9461960.765259,0.130622909213332,314476732187463,64.1,0.02,0.01,0.04,1.9,84004859.78907846,4629403074.526196,175,2022-11-02T08:18:09.211759830Z,1.0,0.0,6.12345
