block_num,Block_length_target,Goal_Bonded,Inflation_Rate_Change,Min_Inflation_Rate,Max_Inflation_Rate,Min_Signatures,Blocks_per_year,n_validators,val_0_name,val_0_address,val_0_commission_pct,val_1_name,val_1_address,val_1_commission_pct,val_2_name,val_2_address,val_2_commission_pct,total_block_fees,proposer,timestamp,sign_ratio,val_0_stake,val_1_stake,val_2_stake,community_tax,min_proposer_bonus,max_proposer_bonus,percent_staked,inflation_rate,val_2_com_amt,val_1_com_amt,total_supply,val_0_com_amt,block_len,appended_block
12947188,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,175,Coinbase,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,20.0,Twinstake,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,8.0,Figment,cosmosvaloper1hjct6q7npsspsg3dgvzk3sdf89spmlpfdn6m9d,9.0,1770,CrujbFTdDKankK75agHUOS42NF8=,2022-11-22T13:17:50.686769041Z,1.0,11523733.707119,185753.946442,4392077.957041,0.02,0.01,0.04,62.11,0.1334461644760324,4963520586.041395,178141703.33575192,316963937346680,1109486944.1000755,6.545,0
12947189,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,175,Coinbase,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,20.0,Twinstake,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,8.0,Figment,cosmosvaloper1hjct6q7npsspsg3dgvzk3sdf89spmlpfdn6m9d,9.0,10335,pPHVU08/qQWk2mBuihCDSXZRH/c=,2022-11-22T13:17:56.982805877Z,1.0,11523733.707119,185753.946442,4392077.957041,0.02,0.01,0.04,62.11,0.1334461811862909,4963538709.406267,178142384.65742278,316963947047970,1109592613.5781186,6.296,0
12947190,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,175,Coinbase,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,20.0,Twinstake,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,8.0,Figment,cosmosvaloper1hjct6q7npsspsg3dgvzk3sdf89spmlpfdn6m9d,9.0,10335,pPHVU08/qQWk2mBuihCDSXZRH/c=,2022-11-22T13:17:56.982805877Z,1.0,11523733.707119,185753.946442,4392077.957041,0.02,0.01,0.04,62.11,0.1334461811862909,4963683737.964685,178146019.4165836,316963947047970,1109874479.7800672,6.296,1
12947191,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,175,Coinbase,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,20.0,Twinstake,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,8.0,Figment,cosmosvaloper1hjct6q7npsspsg3dgvzk3sdf89spmlpfdn6m9d,9.0,10335,pPHVU08/qQWk2mBuihCDSXZRH/c=,2022-11-22T13:17:56.982805877Z,1.0,11523733.707119,185753.946442,4392077.957041,0.02,0.01,0.04,62.11,0.1334461811862909,4963683737.964685,178146019.4165836,316963947047970,1109874479.7800672,6.296,1
12947192,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,175,Coinbase,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,20.0,Twinstake,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,8.0,Figment,cosmosvaloper1hjct6q7npsspsg3dgvzk3sdf89spmlpfdn6m9d,9.0,14308,TrEoJnX3JLWQJvIXPCPw3Jk28Rg=,2022-11-22T13:18:15.888178375Z,1.0,11523733.707119,185753.946442,4392077.957041,0.02,0.01,0.04,62.11,0.1334463148678461,4963683737.964685,178147836.796164,316964024658346,1110438212.1839645,6.302,0
12947193,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,175,Coinbase,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,20.0,Twinstake,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,8.0,Figment,cosmosvaloper1hjct6q7npsspsg3dgvzk3sdf89spmlpfdn6m9d,9.0,14308,TrEoJnX3JLWQJvIXPCPw3Jk28Rg=,2022-11-22T13:18:15.888178375Z,1.0,11523733.707119,185753.946442,4392077.957041,0.02,0.01,0.04,62.11,0.1334463148678461,4963710923.82443,178148518.1381964,316964024658346,1110491048.501974,6.302,1
12947194,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,175,Coinbase,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,20.0,Twinstake,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,8.0,Figment,cosmosvaloper1hjct6q7npsspsg3dgvzk3sdf89spmlpfdn6m9d,9.0,14308,TrEoJnX3JLWQJvIXPCPw3Jk28Rg=,2022-11-22T13:18:15.888178375Z,1.0,11523733.707119,185753.946442,4392077.957041,0.02,0.01,0.04,62.11,0.1334463148678461,4963710923.82443,178148518.1381964,316964024658346,1110491048.501974,6.302,1
12947195,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,175,Coinbase,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,20.0,Twinstake,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,8.0,Figment,cosmosvaloper1hjct6q7npsspsg3dgvzk3sdf89spmlpfdn6m9d,9.0,14308,TrEoJnX3JLWQJvIXPCPw3Jk28Rg=,2022-11-22T13:18:15.888178375Z,1.0,11523733.707119,185753.946442,4392077.957041,0.02,0.01,0.04,62.11,0.1334463148678461,4963710923.82443,178148518.1381964,316964024658346,1110491048.501974,6.302,1
12947196,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,175,Coinbase,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,20.0,Twinstake,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,8.0,Figment,cosmosvaloper1hjct6q7npsspsg3dgvzk3sdf89spmlpfdn6m9d,9.0,7027,V3E7t0Icf+s4G4Y/yH3tXoKaqWE=,2022-11-22T13:18:46.156835410Z,1.0,11523733.707119,185753.946442,4392077.957041,0.02,0.01,0.04,62.11,0.1334463482882051,4963719985.777679,178149199.48022884,316964044060955,1110649557.4560032,7.567,0
12947197,7.23302752293578,0.6666,0.13,0.07,0.2,0.6666,4360000,175,Coinbase,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en,20.0,Twinstake,cosmosvaloper1svwt2mr4x2mx0hcmty0mxsa4rmlfau4lwx2l69,8.0,Figment,cosmosvaloper1hjct6q7npsspsg3dgvzk3sdf89spmlpfdn6m9d,9.0,7027,V3E7t0Icf+s4G4Y/yH3tXoKaqWE=,2022-11-22T13:18:46.156835410Z,1.0,11523733.707119,185753.946442,4392077.957041,0.02,0.01,0.04,62.11,0.1334463482882051,4963719985.777679,178149199.48022884,316964044060955,1110649557.4560032,7.567,1
